"translation","source","can_modify"
"Zero!{#Name=""Quatro""}","Zero!{#Name=""Four""}","1"
"...Quatro.{#Name=""Zero""}","...Four.{#Name=""Zero""}","1"
"Oh, doce Zero...{#Name=""Quatro""}","Oh, sweet Zero...{#Name=""Four""}","1"
"Eu percebi algo.{#Name=""Quatro""}","I've realized something.{#Name=""Four""}","1"
"Nós não precisamos ter medo desse mundo.{#Name=""Quatro""}","We don't have to be scared of this world.{#Name=""Four""}","1"
"Porque uma vez que eu o destrua...não haverá mais um mundo para ter medo!{#Name=""Quatro""}","Because once I destroy it...there won't be a world to be scared of anymore!{#Name=""Four""}","1"
"{06}>{#Name=""Quatro""}","{06}>{#Name=""Four""}","1"
"A flor a tomou conta.{#Name=""Zero""}","The flower's taken her over.{#Name=""Zero""}","1"
"Todo esse mundo cantará para mim!{#Name=""Quatro""}","This entire world will sing for me!{#Name=""Four""}","1"
"Zophiel, venha até mim!{#Name=""Quatro""}","Zophiel, come to me!{#Name=""Four""}","1"
"Um dragão!?{#Name=""Zero""}","A dragon!?{#Name=""Zero""}","1"
"Isso é... Isso é o dragão da Lady One's...{#Name=""Octa""}","That's... That's Lady One's...{#Name=""Octa""}","1"
"Não, é diferente.{#Name=""Zero""}","No, it's different.{#Name=""Zero""}","1"
"Como o Quatro conseguiu invocar um dragão daemon!?{#Name=""Zero""}","How did Four manage to summon a daemon dragon!?{#Name=""Zero""}","1"
"Os Intoners não podem normalmente fazer isso?{#Name=""Mikhail""}","Intoners can't normally do that?{#Name=""Mikhail""}","1"
"Não. Não sem perder a cabeça, eles não podem.{#Name=""Zero""}","No. Not without losing their minds, they can't.{#Name=""Zero""}","1"
"A One foi a única irmã com{LF}o poder de fazer isso.{#Name=""Zero""}","One was the only sister with{LF}the power to pull it off.{#Name=""Zero""}","1"
"Mas você pode me chamar, Zero! E você está bem!{#Name=""Mikhail""}","But you can call me, Zero! And you're okay!{#Name=""Mikhail""}","1"
"Ou talvez você já estivesse louco desde o início?{#Name=""Mikhail""}","Or maybe you were already bonkers from the start?{#Name=""Mikhail""}","1"
"Certo...{#Name=""Zero""}","Right...{#Name=""Zero""}","1"
"Não, bobo!{#Name=""Zero""}","No, dummy!{#Name=""Zero""}","1"
"Você não é um daemon.{#Name=""Zero""}","You're not a daemon.{#Name=""Zero""}","1"
"E aí, eu também sou...especial, okay? Eu sou diferente.{#Name=""Zero""}","Plus, I'm...special, okay? I'm different.{#Name=""Zero""}","1"
"Minha irmãzinha! Minha irmãzinha! Meu destino está sobre você!{#Name=""Four""}","Fie, my sister! Fie on you!{#Name=""Four""}","1"
"Olhe para você, matando seus parentes para reivindicar seus poderes!{#Name=""Four""}","Look at you, murdering your{LF}kin to claim their powers!{#Name=""Four""}","1"
"Não quero seu poder, irmã.{#Name=""Zero""}","I don't want your power, Sis.{#Name=""Zero""}","1"
"Mas eu vou matá-lo. Todos vocês... desculpe por isso.{#Name=""Zero""}","But I will kill you. All of you.{LF}...Sorry about that.{#Name=""Zero""}","1"
"Você não se arrepende. Oh, você não se arrepende nada.{#Name=""Four""}","You aren't sorry. Oh, you aren't sorry at all.{#Name=""Four""}","1"
"Ah ah ah ah ah ah ah! Você quer me matar?{#Name=""Four""}","Ah ha ha ha ha ha ha! You want to kill ME?{#Name=""Four""}","1"
"Ah ah! Hé hé hé hé ha ha ha!{#Name=""Four""}","Ah ha! Hee hee hee hee ha ha ha!{#Name=""Four""}","1"
"Você se lembra, Zero? Você se lembra{LF}de como eu costumava imitá-lo todo o tempo?{#Name=""Four""}","Do you remember, Zero? Do you remember{LF}how I used to imitate you all the time?{#Name=""Four""}","1"
"Sua roupa, seu cabelo, sua maquiagem...{LF}Tudo! Hé hé!{#Name=""Four""}","Your clothes, your hair, your makeup...{LF}Everything! Hee hee!{#Name=""Four""}","1"
"Não, não para nada. De fato, eu acho que{LF}isso nunca aconteceu de verdade.{#Name=""Zero""}","Not at all. In fact, I'm pretty sure{LF}that never actually happened.{#Name=""Zero""}","1"
"Então, eu vou imitá-lo novamente!{#Name=""Four""}","So now I'm going to imitate you again!{#Name=""Four""}","1"
"Se você vai ser um assassino de Intoners...{LF}então eu também vou ser um assassino de Intoners!{#Name=""Four""}","If you're going to be an Intoner killer...{LF}then I'm going to be an Intoner killer too!{#Name=""Four""}","1"
